,wearable_label_id,x_value,y_value,z_value,timest
0,1,1700,-14,185,2019-07-09 08:32:38
1,1,-809,3614,-1276,2019-07-09 08:32:38
2,1,-774,3555,-1181,2019-07-09 08:32:38
3,1,-774,3555,-1181,2019-07-09 08:32:38
4,1,-774,3555,-1181,2019-07-09 08:32:38
5,1,-708,3545,-1175,2019-07-09 08:32:38
6,1,-708,3545,-1175,2019-07-09 08:32:38
7,1,-656,3531,-1129,2019-07-09 08:32:38
8,1,-656,3531,-1129,2019-07-09 08:32:38
9,1,-627,3581,-1079,2019-07-09 08:32:38
10,1,-627,3581,-1079,2019-07-09 08:32:38
11,1,-594,3620,-1063,2019-07-09 08:32:38
12,1,-1276,5116,-1046,2019-07-09 08:32:38
13,1,5581,-1396,462,2019-07-09 08:32:38
14,1,-4488,1392,487,2019-07-09 08:32:38
15,1,-2972,1132,49,2019-07-09 08:32:38
16,1,-612,-12,-199,2019-07-09 08:32:38
17,1,795,-510,84,2019-07-09 08:32:38
18,1,-103,-635,-4,2019-07-09 08:32:38
19,1,-903,-67,-296,2019-07-09 08:32:38
20,1,-244,-71,-96,2019-07-09 08:32:38
21,1,249,-27,-49,2019-07-09 08:32:39
22,1,299,-106,-63,2019-07-09 08:32:39
23,1,171,126,-222,2019-07-09 08:32:39
24,1,342,503,-462,2019-07-09 08:32:39
25,1,-160,-9,-110,2019-07-09 08:32:39
26,1,81,-28,-212,2019-07-09 08:32:39
27,1,318,88,-120,2019-07-09 08:32:39
28,1,-140,-158,-72,2019-07-09 08:32:39
29,1,-115,-209,-64,2019-07-09 08:32:39
30,1,-165,-43,-95,2019-07-09 08:32:39
31,1,-323,186,-203,2019-07-09 08:32:40
32,1,-142,-72,-9,2019-07-09 08:32:40
33,1,40,-94,-72,2019-07-09 08:32:40
34,1,131,-37,43,2019-07-09 08:32:40
35,1,-209,55,-71,2019-07-09 08:32:40
36,1,-156,-24,-25,2019-07-09 08:32:40
37,1,-176,130,-89,2019-07-09 08:32:40
38,1,33,67,-61,2019-07-09 08:32:40
39,1,156,-26,-65,2019-07-09 08:32:40
40,1,17,10,-67,2019-07-09 08:32:40
