"id";"wearable_label_id";"x_value";"y_value";"z_value";"timest"
82;0;8213.0;3054.0;12468.0;"2019-08-13 14:58:36"
83;0;8252.0;3010.0;12562.0;"2019-08-13 14:58:36"
84;0;8252.0;3010.0;12562.0;"2019-08-13 14:58:36"
85;0;8310.0;2912.0;12365.0;"2019-08-13 14:58:36"
86;0;8310.0;2912.0;12365.0;"2019-08-13 14:58:36"
87;0;8262.0;2828.0;12302.0;"2019-08-13 14:58:36"
88;0;8262.0;2828.0;12302.0;"2019-08-13 14:58:36"
89;0;8262.0;2828.0;12465.0;"2019-08-13 14:58:36"
90;0;8299.0;2830.0;12465.0;"2019-08-13 14:58:36"
91;0;8299.0;2830.0;12394.0;"2019-08-13 14:58:36"
92;0;8252.0;2971.0;12394.0;"2019-08-13 14:58:36"
93;0;8252.0;2971.0;12484.0;"2019-08-13 14:58:36"
94;0;8264.0;2992.0;12484.0;"2019-08-13 14:58:36"
95;0;8264.0;2992.0;12484.0;"2019-08-13 14:58:36"
96;0;8224.0;2984.0;12379.0;"2019-08-13 14:58:36"
97;0;8224.0;2984.0;12379.0;"2019-08-13 14:58:36"
98;0;8205.0;2918.0;12683.0;"2019-08-13 14:58:36"
99;0;8205.0;2918.0;12683.0;"2019-08-13 14:58:36"
100;0;8357.0;2714.0;12595.0;"2019-08-13 14:58:36"
101;0;8357.0;2714.0;12595.0;"2019-08-13 14:58:36"
102;0;8331.0;2590.0;12707.0;"2019-08-13 14:58:36"
103;0;8331.0;2590.0;12707.0;"2019-08-13 14:58:36"
104;0;8333.0;2597.0;12517.0;"2019-08-13 14:58:36"
105;0;8333.0;2597.0;12517.0;"2019-08-13 14:58:36"
106;0;8260.0;2690.0;12703.0;"2019-08-13 14:58:36"
107;0;8260.0;2690.0;12703.0;"2019-08-13 14:58:36"
108;0;8304.0;2671.0;12669.0;"2019-08-13 14:58:36"
109;0;8304.0;2671.0;12669.0;"2019-08-13 14:58:36"
110;0;8231.0;2653.0;12720.0;"2019-08-13 14:58:36"
111;0;8231.0;2653.0;12720.0;"2019-08-13 14:58:36"
112;0;8245.0;2621.0;12687.0;"2019-08-13 14:58:36"
113;0;7989.0;2601.0;12456.0;"2019-08-13 14:58:36"
114;0;8170.0;2601.0;12456.0;"2019-08-13 14:58:36"
115;0;8096.0;2667.0;12637.0;"2019-08-13 14:58:36"
116;0;8096.0;2667.0;12637.0;"2019-08-13 14:58:36"
117;0;8225.0;2770.0;12547.0;"2019-08-13 14:58:36"
118;0;8225.0;2770.0;12547.0;"2019-08-13 14:58:36"
119;0;8137.0;2805.0;12506.0;"2019-08-13 14:58:36"
120;0;8137.0;2805.0;12506.0;"2019-08-13 14:58:36"
121;0;8135.0;2765.0;12464.0;"2019-08-13 14:58:36"
122;0;8135.0;2765.0;12464.0;"2019-08-13 14:58:36"
123;0;8140.0;2759.0;12445.0;"2019-08-13 14:58:36"
124;0;8140.0;2759.0;12445.0;"2019-08-13 14:58:36"
125;0;8054.0;2741.0;12484.0;"2019-08-13 14:58:36"
126;0;8054.0;2741.0;12484.0;"2019-08-13 14:58:36"
127;0;8169.0;2663.0;12571.0;"2019-08-13 14:58:36"
128;0;8169.0;2663.0;12571.0;"2019-08-13 14:58:36"
129;0;8075.0;2728.0;12401.0;"2019-08-13 14:58:36"
130;0;8299.0;2755.0;12448.0;"2019-08-13 14:58:36"
131;0;8299.0;2755.0;12448.0;"2019-08-13 14:58:36"
132;0;8256.0;2886.0;12491.0;"2019-08-13 14:58:36"
133;0;8256.0;2886.0;12491.0;"2019-08-13 14:58:36"
134;0;8338.0;2910.0;12409.0;"2019-08-13 14:58:36"
135;0;8338.0;2910.0;12409.0;"2019-08-13 14:58:36"
136;0;8397.0;2897.0;12384.0;"2019-08-13 14:58:36"
137;0;8397.0;2897.0;12384.0;"2019-08-13 14:58:36"
138;0;8272.0;2893.0;12438.0;"2019-08-13 14:58:36"
139;0;8272.0;2893.0;12438.0;"2019-08-13 14:58:36"
140;0;8324.0;2856.0;12499.0;"2019-08-13 14:58:36"
141;0;8068.0;2899.0;12476.0;"2019-08-13 14:58:36"
142;0;8160.0;2899.0;12476.0;"2019-08-13 14:58:36"
143;0;8303.0;2795.0;12660.0;"2019-08-13 14:58:36"
144;0;8303.0;2795.0;12660.0;"2019-08-13 14:58:36"
145;0;8423.0;2789.0;12338.0;"2019-08-13 14:58:36"
146;0;8423.0;2789.0;12338.0;"2019-08-13 14:58:36"
147;0;8398.0;2817.0;12428.0;"2019-08-13 14:58:36"
148;0;8398.0;2817.0;12428.0;"2019-08-13 14:58:36"
149;0;8441.0;2864.0;12554.0;"2019-08-13 14:58:36"
150;0;8441.0;2847.0;12633.0;"2019-08-13 14:58:36"
151;0;8389.0;2847.0;12633.0;"2019-08-13 14:58:36"
152;0;8511.0;2817.0;12607.0;"2019-08-13 14:58:36"
153;0;8511.0;2817.0;12607.0;"2019-08-13 14:58:36"
154;0;8379.0;2684.0;12489.0;"2019-08-13 14:58:36"
155;0;8379.0;2684.0;12489.0;"2019-08-13 14:58:36"
156;0;8338.0;2650.0;12486.0;"2019-08-13 14:58:36"
157;0;8338.0;2650.0;12486.0;"2019-08-13 14:58:36"
158;0;8256.0;2674.0;12407.0;"2019-08-13 14:58:36"
159;0;8256.0;2674.0;12625.0;"2019-08-13 14:58:36"
160;0;8296.0;2765.0;12625.0;"2019-08-13 14:58:36"
161;0;8214.0;2836.0;12411.0;"2019-08-13 14:58:36"
162;0;8214.0;2836.0;12411.0;"2019-08-13 14:58:36"
163;0;8129.0;3021.0;12666.0;"2019-08-13 14:58:36"
164;0;8129.0;3021.0;12666.0;"2019-08-13 14:58:36"
165;0;8081.0;3106.0;12442.0;"2019-08-13 14:58:36"
166;0;8081.0;3106.0;12442.0;"2019-08-13 14:58:36"
167;0;7965.0;3039.0;12672.0;"2019-08-13 14:58:36"
168;0;8100.0;2743.0;12595.0;"2019-08-13 14:58:36"
169;0;8100.0;2743.0;12595.0;"2019-08-13 14:58:36"
170;0;8191.0;2529.0;12617.0;"2019-08-13 14:58:36"
171;0;8191.0;2529.0;12617.0;"2019-08-13 14:58:36"
172;0;8487.0;2405.0;12792.0;"2019-08-13 14:58:36"
173;0;8487.0;2405.0;12792.0;"2019-08-13 14:58:36"
174;0;8430.0;2498.0;12785.0;"2019-08-13 14:58:36"
175;0;8430.0;2498.0;12824.0;"2019-08-13 14:58:36"
176;0;8547.0;2611.0;12824.0;"2019-08-13 14:58:36"
177;0;8455.0;2775.0;12638.0;"2019-08-13 14:58:36"
178;0;8455.0;2775.0;12638.0;"2019-08-13 14:58:36"
179;0;8338.0;2888.0;12640.0;"2019-08-13 14:58:36"
180;0;8338.0;2888.0;12640.0;"2019-08-13 14:58:36"
181;0;8330.0;2705.0;12430.0;"2019-08-13 14:58:37"
182;0;8330.0;2906.0;12464.0;"2019-08-13 14:58:37"
183;0;8111.0;2641.0;12617.0;"2019-08-13 14:58:37"
184;0;8272.0;2853.0;12594.0;"2019-08-13 14:58:37"
185;0;8398.0;2787.0;12609.0;"2019-08-13 14:58:37"
186;0;8031.0;2934.0;12624.0;"2019-08-13 14:58:37"
187;0;8189.0;2559.0;12562.0;"2019-08-13 14:58:37"
188;0;8287.0;2969.0;12356.0;"2019-08-13 14:58:37"
189;0;8372.0;2831.0;12473.0;"2019-08-13 14:58:37"
190;0;8260.0;2571.0;12610.0;"2019-08-13 14:58:37"
191;0;8276.0;2802.0;12373.0;"2019-08-13 14:58:38"
192;0;8499.0;2511.0;12467.0;"2019-08-13 14:58:38"
193;0;8517.0;2450.0;12583.0;"2019-08-13 14:58:38"
194;0;7897.0;2597.0;12313.0;"2019-08-13 14:58:38"
195;0;8421.0;2770.0;12493.0;"2019-08-13 14:58:38"
196;0;8187.0;2566.0;12491.0;"2019-08-13 14:58:38"
197;0;8331.0;2548.0;12508.0;"2019-08-13 14:58:38"
198;0;8384.0;2794.0;12336.0;"2019-08-13 14:58:38"
199;0;8203.0;2789.0;12498.0;"2019-08-13 14:58:38"
200;0;8285.0;2746.0;12443.0;"2019-08-13 14:58:38"
201;0;-293.0;7918.0;13917.0;"2019-08-13 14:58:43"
202;0;-246.0;7689.0;13692.0;"2019-08-13 14:58:43"
203;0;-246.0;7689.0;13692.0;"2019-08-13 14:58:43"
204;0;-246.0;7520.0;13512.0;"2019-08-13 14:58:43"
205;0;-312.0;7520.0;13512.0;"2019-08-13 14:58:43"
206;0;-312.0;7520.0;13256.0;"2019-08-13 14:58:43"
207;0;-333.0;7604.0;13299.0;"2019-08-13 14:58:43"
208;0;-333.0;7604.0;13299.0;"2019-08-13 14:58:43"
209;0;-188.0;7616.0;13508.0;"2019-08-13 14:58:43"
210;0;-188.0;7616.0;13508.0;"2019-08-13 14:58:43"
211;0;-46.0;7577.0;13403.0;"2019-08-13 14:58:43"
212;0;-46.0;7577.0;13403.0;"2019-08-13 14:58:43"
213;0;-112.0;7652.0;13650.0;"2019-08-13 14:58:43"
214;0;-112.0;7652.0;13650.0;"2019-08-13 14:58:43"
215;0;-286.0;7573.0;13683.0;"2019-08-13 14:58:43"
216;0;-286.0;7573.0;13683.0;"2019-08-13 14:58:43"
217;0;-367.0;7560.0;14111.0;"2019-08-13 14:58:43"
218;0;-367.0;7560.0;14111.0;"2019-08-13 14:58:43"
219;0;-317.0;7508.0;14058.0;"2019-08-13 14:58:43"
220;0;-317.0;7508.0;14058.0;"2019-08-13 14:58:43"
221;0;-440.0;7658.0;14341.0;"2019-08-13 14:58:43"
222;0;-440.0;7658.0;14341.0;"2019-08-13 14:58:43"
223;0;-92.0;8013.0;14018.0;"2019-08-13 14:58:43"
224;0;-92.0;8013.0;14018.0;"2019-08-13 14:58:43"
225;0;-602.0;7147.0;14231.0;"2019-08-13 14:58:43"
226;0;-602.0;7147.0;14231.0;"2019-08-13 14:58:43"
227;0;-415.0;8457.0;13491.0;"2019-08-13 14:58:43"
228;0;-415.0;8457.0;13491.0;"2019-08-13 14:58:43"
229;0;191.0;7122.0;13455.0;"2019-08-13 14:58:43"
230;0;191.0;7122.0;13455.0;"2019-08-13 14:58:43"
